rank,session_id,entity_id,timestamp,risk_score,predicted_type,predicted_confidence,explanation,true_label
1,4735a69b,edge_device_0157,2026-06-08 09:05:26.421625,0.9999324083328247,credential_stuffing,0.9997239708900452,flagged due to implausible geo-velocity (impossible travel) + large geographic jump from last known location,credential_stuffing
2,2c034156,service_account_0204,2026-06-08 09:03:55.421625,0.9999324083328247,credential_stuffing,0.9997028708457947,flagged due to large geographic jump from last known location + implausible geo-velocity (impossible travel),credential_stuffing
3,11c6cbf2,user_0271,2026-06-08 09:04:34.421625,0.9999246597290039,credential_stuffing,0.9996140599250793,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
4,5c120dd7,user_0048,2026-06-08 09:04:51.421625,0.9999169111251831,credential_stuffing,0.9996380805969238,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
5,24157a0f,user_0103,2026-06-08 09:05:16.421625,0.9998961687088013,credential_stuffing,0.9996691942214966,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
6,9f12651d,user_0039,2026-06-08 09:05:16.421625,0.9997826218605042,credential_stuffing,0.9992144107818604,flagged due to large geographic jump from last known location + implausible geo-velocity (impossible travel),credential_stuffing
7,e9455500,service_account_0074,2026-06-08 09:04:29.421625,0.9997686743736267,credential_stuffing,0.9990290403366089,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
8,f6475db3,user_0043,2026-06-08 09:03:49.421625,0.9997616410255432,credential_stuffing,0.9992659687995911,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
9,a41f3071,edge_device_0270,2026-06-08 09:04:26.421625,0.9997523427009583,credential_stuffing,0.9992734789848328,flagged due to implausible geo-velocity (impossible travel) + large geographic jump from last known location,credential_stuffing
10,9e20e050,edge_device_0013,2026-06-08 09:05:04.421625,0.9997522234916687,credential_stuffing,0.999232292175293,flagged due to implausible geo-velocity (impossible travel) + large geographic jump from last known location,credential_stuffing
11,78b232d5,user_0223,2026-06-08 09:03:35.421625,0.9997404217720032,credential_stuffing,0.999019980430603,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
12,274dec91,service_account_0031,2026-06-08 09:03:51.421625,0.9997397065162659,credential_stuffing,0.9992221593856812,flagged due to large geographic jump from last known location + implausible geo-velocity (impossible travel),credential_stuffing
13,c831c06c,user_0067,2026-06-08 09:04:07.421625,0.9997363686561584,credential_stuffing,0.9992222785949707,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
14,38349c5b,user_0052,2026-06-08 09:04:26.421625,0.9996613264083862,credential_stuffing,0.999160647392273,flagged due to large geographic jump from last known location + unusual session duration,credential_stuffing
15,9bfe29b2,user_0093,2026-06-08 09:05:06.421625,0.9981783628463745,credential_stuffing,0.9891886711120605,flagged due to large geographic jump from last known location + implausible geo-velocity (impossible travel),credential_stuffing
16,15c7f846,user_0090,2026-06-10 14:32:54.089932,0.9979914426803589,brute_force,0.9998568296432495,flagged due to unusual session duration + failed authentication attempt,brute_force
17,a49b3d86,user_0090,2026-06-10 14:32:15.089932,0.9979756474494934,brute_force,0.9998586177825928,flagged due to unusual session duration + failed authentication attempt,brute_force
18,1b6017b0,user_0090,2026-06-10 14:32:15.089932,0.9979522228240967,brute_force,0.9998606443405151,flagged due to unusual session duration + failed authentication attempt,brute_force
19,47b71730,user_0090,2026-06-10 14:32:06.089932,0.9979287385940552,brute_force,0.9998624324798584,flagged due to unusual session duration + failed authentication attempt,brute_force
20,337df4d8,user_0160,2026-06-10 17:43:48.208318,0.9979178309440613,brute_force,0.9998682737350464,flagged due to unusual session duration + failed authentication attempt,brute_force
21,0602453f,user_0090,2026-06-10 14:31:40.089932,0.9978986978530884,brute_force,0.9998643398284912,flagged due to unusual session duration + failed authentication attempt,brute_force
22,7f825d6e,user_0160,2026-06-10 17:43:38.208318,0.9978949427604675,brute_force,0.9998693466186523,flagged due to unusual session duration + failed authentication attempt,brute_force
23,ccba74b7,user_0160,2026-06-10 17:42:54.208318,0.9978736639022827,brute_force,0.9998704195022583,flagged due to unusual session duration + failed authentication attempt,brute_force
24,fdfce588,user_0090,2026-06-10 14:31:40.089932,0.9978650212287903,brute_force,0.9998657703399658,flagged due to unusual session duration + failed authentication attempt,brute_force
25,5c9e51d8,user_0160,2026-06-10 17:42:44.208318,0.9978500604629517,brute_force,0.9998713731765747,flagged due to unusual session duration + failed authentication attempt,brute_force
26,9b2c86a0,user_0090,2026-06-10 14:31:35.089932,0.9978273510932922,brute_force,0.99986732006073,flagged due to unusual session duration + failed authentication attempt,brute_force
27,ad3225db,user_0160,2026-06-10 17:42:39.208318,0.9978216886520386,brute_force,0.9998723268508911,flagged due to unusual session duration + failed authentication attempt,brute_force
28,92e42fb4,user_0160,2026-06-10 17:42:04.208318,0.9977926015853882,brute_force,0.999873161315918,flagged due to unusual session duration + failed authentication attempt,brute_force
29,d7758233,user_0090,2026-06-10 14:31:26.089932,0.9977858066558838,brute_force,0.9998688697814941,flagged due to unusual session duration + failed authentication attempt,brute_force
30,0ce01e37,user_0160,2026-06-10 17:41:46.208318,0.9977568984031677,brute_force,0.9998739957809448,flagged due to unusual session duration + failed authentication attempt,brute_force
31,2f414451,user_0090,2026-06-10 14:31:22.089932,0.9977315068244934,brute_force,0.9998700618743896,flagged due to unusual session duration + failed authentication attempt,brute_force
32,aecd1f0c,user_0160,2026-06-10 17:41:29.208318,0.9977219700813293,brute_force,0.9998745918273926,flagged due to unusual session duration + failed authentication attempt,brute_force
33,669daa3e,user_0160,2026-06-10 17:41:24.208318,0.9976751208305359,brute_force,0.9998753070831299,flagged due to unusual session duration + failed authentication attempt,brute_force
34,10e36ee1,user_0090,2026-06-10 14:31:18.089932,0.9976669549942017,brute_force,0.9998712539672852,flagged due to unusual session duration + failed authentication attempt,brute_force
35,2a8a2781,user_0160,2026-06-10 17:41:18.208318,0.9976266026496887,brute_force,0.9998756647109985,flagged due to unusual session duration + failed authentication attempt,brute_force
36,fc220acf,user_0090,2026-06-10 14:31:15.089932,0.9975872039794922,brute_force,0.999872088432312,flagged due to unusual session duration + failed authentication attempt,brute_force
37,5718519f,user_0160,2026-06-10 17:41:12.208318,0.9975715279579163,brute_force,0.9998756647109985,flagged due to unusual session duration + failed authentication attempt,brute_force
38,dd02137d,user_0160,2026-06-10 17:41:11.208318,0.9975011944770813,brute_force,0.9998759031295776,flagged due to unusual session duration + failed authentication attempt,brute_force
